Date,PkRzeszPilsu-PM2.5-1g,PkRzeszPilsu-PM10-1g,PkRzeszPilsu-CO-1g,PkRzeszPilsu-NO2-1g,PkRzeszRejta-O3-1g,PkRzeszRejta-SO2-1g,CAQI,CAQI_Opis,Predicted_CAQI,Predicted_CAQI_Desc
2025-01-01 00:00:00,20.3,20.4,0.409,8.1,43.4,3.2,33.833333333333336,Dobry,33.86173999999995,Dobry
2025-01-01 01:00:00,21.1,24.7,0.411,10.3,43.6,2.9,35.16666666666667,Dobry,35.1667783333333,Dobry
2025-01-01 02:00:00,9.5,11.2,0.393,7.3,45.8,1.9,19.08333333333333,Bardzo dobry,19.20349516666665,Bardzo dobry
2025-01-01 03:00:00,7.7,9.1,0.385,6.1,47.1,2.2,19.625,Bardzo dobry,19.70918749999998,Bardzo dobry
2025-01-01 04:00:00,7.5,8.8,0.379,6.2,47.6,1.6,19.83333333333333,Bardzo dobry,19.99691916666667,Bardzo dobry
2025-01-01 05:00:00,7.6,9.0,0.374,5.8,48.4,1.6,20.166666666666668,Bardzo dobry,20.247979083333348,Bardzo dobry
2025-01-01 06:00:00,7.2,8.5,0.368,6.2,48.8,1.4,20.33333333333333,Bardzo dobry,20.377292250000014,Bardzo dobry
2025-01-01 07:00:00,6.4,7.6,0.357,5.3,48.0,1.5,20.0,Bardzo dobry,20.049979,Bardzo dobry
2025-01-01 08:00:00,6.7,7.9,0.359,5.6,48.4,1.3,20.166666666666668,Bardzo dobry,20.20043391666668,Bardzo dobry
2025-01-01 09:00:00,6.6,7.8,0.355,5.1,48.2,1.4,20.08333333333333,Bardzo dobry,20.11348633333333,Bardzo dobry
2025-01-01 10:00:00,9.5,11.4,0.367,8.2,50.1,1.7,20.875,Bardzo dobry,20.922052833333325,Bardzo dobry
2025-01-01 11:00:00,9.7,11.8,0.395,7.3,51.8,2.0,21.58333333333333,Bardzo dobry,21.67480941666666,Bardzo dobry
2025-01-01 12:00:00,8.0,10.9,0.372,5.1,52.0,2.3,21.666666666666668,Bardzo dobry,21.654420666666667,Bardzo dobry
2025-01-01 13:00:00,8.2,12.6,0.388,6.7,51.5,2.0,21.45833333333333,Bardzo dobry,21.502448249999983,Bardzo dobry
2025-01-01 14:00:00,7.9,10.5,0.388,9.0,51.6,1.9,21.5,Bardzo dobry,21.556753250000007,Bardzo dobry
2025-01-01 15:00:00,9.5,12.3,0.394,12.1,52.2,2.3,21.75,Bardzo dobry,21.87624383333333,Bardzo dobry
2025-01-01 16:00:00,11.1,13.1,0.42,13.2,49.8,2.2,20.75,Bardzo dobry,20.89629199999998,Bardzo dobry
2025-01-01 17:00:00,10.5,12.3,0.408,16.6,49.4,2.1,20.58333333333333,Bardzo dobry,20.707966166666694,Bardzo dobry
2025-01-01 18:00:00,10.5,12.4,0.402,17.2,47.7,2.0,19.875,Bardzo dobry,20.043274750000027,Bardzo dobry
2025-01-01 19:00:00,10.5,12.4,0.408,19.4,48.4,2.1,20.166666666666668,Bardzo dobry,20.32657841666669,Bardzo dobry
2025-01-01 20:00:00,9.9,11.7,0.397,16.8,48.9,2.2,20.375,Bardzo dobry,20.493211583333338,Bardzo dobry
2025-01-01 21:00:00,9.6,11.5,0.385,14.8,51.4,1.9,21.416666666666668,Bardzo dobry,21.541148583333335,Bardzo dobry
2025-01-01 22:00:00,9.3,11.1,0.383,14.8,52.5,1.8,21.875,Bardzo dobry,21.939239500000014,Bardzo dobry
2025-01-01 23:00:00,8.3,9.8,0.364,10.7,53.9,1.8,22.45833333333333,Bardzo dobry,22.470551666666665,Bardzo dobry
2025-01-02 00:00:00,7.8,9.4,0.339,9.2,54.2,1.7,22.58333333333333,Bardzo dobry,22.56024541666667,Bardzo dobry
2025-01-02 01:00:00,7.3,8.7,0.307,7.0,54.6,1.5,22.75,Bardzo dobry,22.752601666666656,Bardzo dobry
2025-01-02 02:00:00,7.0,8.3,0.306,6.1,55.1,1.5,22.95833333333333,Bardzo dobry,22.95647416666665,Bardzo dobry
2025-01-02 03:00:00,6.5,7.7,0.295,5.8,53.2,1.6,22.166666666666668,Bardzo dobry,22.167084166666655,Bardzo dobry
2025-01-02 04:00:00,6.3,7.5,0.291,5.1,52.6,1.8,21.916666666666668,Bardzo dobry,21.912774166666676,Bardzo dobry
2025-01-02 05:00:00,5.9,7.1,0.288,4.5,51.9,1.9,21.625,Bardzo dobry,21.614254583333324,Bardzo dobry
2025-01-02 06:00:00,5.3,6.4,0.289,5.7,51.3,2.0,21.375,Bardzo dobry,21.395923750000016,Bardzo dobry
